Nomor,Kitab,Bab,indo
3,Permulaan wahyu,Permulaan wahyu',"'Permulaaan wahyu yang datang kepada Rasulullah shallallahu 'alaihi wasallam adalah dengan mimpi yang benar dalam tidur. Dan tidaklah Beliau bermimpi kecuali datang seperti cahaya subuh. Kemudian Beliau dianugerahi kecintaan untuk menyendiri, lalu Beliau memilih gua Hiro dan bertahannuts yaitu 'ibad"
7,Iman,"Islam dibangun di atas lima (landasan), dan Islam adalah perkata'","'Islam dibangun diatas lima (landasan); persaksian tidak ada ilah selain Allah dan sesungguhnya Muhammad utusan Allah, mendirikan shalat, menunaikan zakat, haji dan puasa Ramadlan'."
6,Permulaan wahyu,Permulaan wahyu','Siapa diantara kalian yang paling dekat hubungan keluarganya dengan orang yang mengaku sebagai Nabi itu?.' Abu Sufyan berkata; maka aku menjawab; 'Akulah yang paling dekat hubungan kekeluargaannya dengan dia'. Heraclius berkata; 'Dekatkanlah dia denganku dan juga sahabat-sahabatnya.' Maka mereka me
5,Permulaan wahyu,Permulaan wahyu',"Rasulullah shallallahu 'alaihi wasallam adalah manusia yang paling lembut terutama pada bulan Ramadlan ketika malaikat Jibril 'Alaihis Salam menemuinya, dan adalah Jibril 'Alaihis Salam mendatanginya setiap malam di bulan Ramadlan, dimana Jibril 'Alaihis Salam mengajarkan Al Qur'an. Sungguh Rasulull"
1,Permulaan wahyu,Permulaan wahyu',"'Semua perbuatan tergantung niatnya, dan (balasan) bagi tiap-tiap orang (tergantung) apa yang diniatkan; Barangsiapa niat hijrahnya karena dunia yang ingin digapainya atau karena seorang perempuan yang ingin dinikahinya, maka hijrahnya adalah kepada apa dia diniatkan'"
2,Permulaan wahyu,Permulaan wahyu',"'Wahai Rasulullah, bagaimana caranya wahyu turun kepada engkau?' Maka Rasulullah shallallahu 'alaihi wasallam menjawab: 'Terkadang datang kepadaku seperti suara gemerincing lonceng dan cara ini yang paling berat buatku, lalu terhenti sehingga aku dapat mengerti apa yang disampaikan. Dan terkadang da"
9,Iman,Seorang muslim adalah orang yang Kaum Muslimin selamat dari lisa',"'Seorang muslim adalah orang yang Kaum Muslimin selamat dari lisan dan tangannya, dan seorang Muhajir adalah orang yang meninggalkan apa yang dilarang oleh Allah ' Abu Abdullah berkata; dan Abu Mu'awiyyah berkata; Telah menceritakan kepada kami Daud, dia adalah anak Ibnu Hind, dari 'Amir berkata; ak"
4,Permulaan wahyu,Permulaan wahyu',' Berkata Ibnu 'Abbas: 'Rasulullah shallallahu 'alaihi wasallam sangat kuat keinginannya untuk menghafalkan apa yang diturunkan (Al Qur'an) dan menggerak-gerakkan kedua bibir Beliau.' Berkata Ibnu 'Abbas: 'aku akan menggerakkan kedua bibirku (untuk membacakannya) kepada kalian sebagaimana Rasulullah
8,Iman,Tentang Perkara-perkara Iman',"'Iman memiliki lebih dari enam puluh cabang, dan malu adalah bagian dari iman'."
13,Iman,Mencintai Rasulullah bagian dari iman',"'Maka demi Zat yang jiwaku di tangan-Nya, tidaklah beriman seorang dari kalian hingga aku lebih dicintainya daripada orang tuanya dan anaknya'."
11,Iman,Memberi makan bagian dari Islam',"'Islam manakah yang paling baik?' Nabi shallallahu 'alaihi wasallam menjawab: 'Kamu memberi makan, mengucapkan salam kepada orang yang kamu kenal dan yang tidak kamu kenal'."
10,Iman,Amalan Islam apakah yang paling utama?',' Rasulullah shallallahu 'alaihi wasallam menjawab: 'Siapa yang Kaum Muslimin selamat dari lisan dan tangannya'.
12,Iman,Bagian dari iman hendaknya mencintai untuk saudaranya sebagaiman','Tidaklah beriman seseorang dari kalian sehingga dia mencintai untuk saudaranya sebagaimana dia mencintai untuk dirinya sendiri'.
